Id,Label,time,friends,followers,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,indegree,outdegree,Degree,clustering,modularity_class,componentnumber,strongcompnum
679667751,,413035,8,10,1,1,1,0,1,1,2,0,0,0,0
155445831,,427290,10,9,0,0,0,0,0,0,0,0,1,1,1
3537700,,518553,13,13,0,0,0,0,0,0,0,0,2,2,2
61899869,,423686,10,14,2,0.571429,0.625,12,4,1,5,0.083333,3,3,3
701687124,,418895,9,8,0,0,0,0,0,0,0,0,4,4,4
604403729,,423714,9,10,2,0.571429,0.625,0,1,1,2,0,28,3,3
187558826,,472419,11,9,0,0,0,0,0,0,0,0,5,5,5
529434419,,346495,8,8,2,0.666667,0.75,0,1,1,2,0,6,6,6
421455573,,475442,6,3,0,0,0,0,0,0,0,0,7,7,7
165054183,,444676,9,9,0,0,0,0,0,0,0,0,8,8,8
105141051,,313648,11,11,2,0.75,0.833333,4,1,2,3,0,25,9,10
171405553,,507346,12,10,0,0,0,0,0,0,0,0,9,10,11
129910796,,429052,10,12,0,0,0,0,0,0,0,0,10,11,12
84303752,,431047,11,10,2,0.555556,0.6,0,0,1,1,0,28,3,13
131883413,,337061,9,10,0,0,0,0,0,0,0,0,11,12,14
67315458,,477161,11,10,0,0,0,0,0,0,0,0,12,13,15
418342184,,317748,7,7,4,0.4,0.520833,0,0,1,1,0,25,9,16
828444636,,431776,8,7,0,0,0,0,0,0,0,0,13,14,17
208604948,,495994,10,9,0,0,0,0,0,0,0,0,14,15,18
89079566,,491950,10,9,0,0,0,0,0,0,0,0,15,16,19
5557571,,351348,11,12,0,0,0,0,0,0,0,0,16,17,20
299260908,,518563,9,7,0,0,0,0,0,0,0,0,17,18,21
458790843,,508790,9,9,0,0,0,0,0,0,0,0,18,19,22
161721633,,422232,8,6,0,0,0,0,0,0,0,0,19,20,23
48800058,,329010,9,8,0,0,0,0,0,0,0,0,20,21,24
669134142,,491222,7,9,0,0,0,0,0,0,0,0,21,22,25
214519146,,400673,8,9,0,0,0,0,0,0,0,0,22,23,26
149854816,,344103,9,9,0,0,0,0,0,0,0,0,23,24,27
233878867,,302686,7,2,0,0,0,0,0,0,0,0,24,25,28
125372400,,430562,11,11,2,0.666667,0.75,0.5,1,3,4,0.5,28,3,29
123158829,,312784,13,14,1,1,1,4,3,1,4,0,25,9,9
349971639,,422127,10,9,0,0,0,0,0,0,0,0,26,26,30
115045903,,413782,11,11,0,0,0,0,0,0,0,0,27,27,31
36638700,,429890,11,11,2,0.6,0.666667,0,1,2,3,0.5,28,3,29
386711169,,339507,9,9,0,0,0,0,0,0,0,0,29,28,32
833515701,,448014,11,11,0,0,0,0,0,0,0,0,30,29,33
836610462,,368026,0,7,0,0,0,0,0,0,0,0,31,30,34
167522550,,429419,11,10,0,0,0,0,0,0,0,0,32,31,35
134261671,,428801,11,11,2,0.571429,0.625,0,1,1,2,0,28,3,3
40095521,,0,12,10,3,0.5,0.642857,6,1,3,4,0,3,3,37
9321470,,313842,12,9,2,0.666667,0.75,0,0,1,1,0,25,9,38
32271990,,420110,13,13,0,0,0,0,0,0,0,0,33,32,39
833699984,,325724,8,8,2,0.666667,0.75,0,1,1,2,0,6,6,6
8150784,,342737,13,13,1,1,1,0,1,1,2,0,34,33,40
667964203,,341654,10,9,0,0,0,0,0,0,0,0,35,34,41
399875421,,325563,11,12,0,0,0,0,0,0,0,0,36,35,42
223759927,,338101,8,9,0,0,0,0,0,0,0,0,37,36,43
29328820,,326297,10,10,0,0,0,0,0,0,0,0,38,37,44
95101987,,333969,9,11,0,0,0,0,0,0,0,0,39,38,45
36159162,,315334,12,11,1,1,1,0,1,1,2,0,25,9,9
128719207,,438958,10,10,0,0,0,0,0,0,0,0,40,39,46
131069519,,328174,12,12,1,1,1,0,1,1,2,0,44,40,47
82627055,,498235,10,8,0,0,0,0,0,0,0,0,41,41,48
128021893,,609979,9,12,0,0,0,0,0,0,0,0,42,42,49
104852114,,547208,9,9,0,0,0,0,0,0,0,0,43,43,50
15994535,,482454,10,12,0,0,0,0,1,0,1,0,49,44,51
127306919,,328470,10,10,1,1,1,0,1,1,2,0,44,40,47
133999060,,311964,10,12,0,0,0,0,0,0,0,0,45,45,52
299412360,,322942,8,3,0,0,0,0,0,0,0,0,46,46,53
506070127,,412832,9,11,1,1,1,0,1,1,2,0,0,0,0
152571711,,429376,11,11,0,0,0,0,0,0,0,0,47,47,54
327563519,,470895,8,8,0,0,0,0,0,0,0,0,48,48,55
31884885,,412873,12,11,1,1,1,0,0,1,1,0,49,44,56
80947940,,423749,13,13,3,0.416667,0.5,0,0,1,1,0,3,3,57
24645258,,341079,12,11,0,0,0,0,0,0,0,0,50,49,58
164877190,,544305,11,10,0,0,0,0,0,0,0,0,51,50,59
121056193,,423569,11,13,1,1,1,47.5,11,4,15,0.027273,28,3,3
828444566,,325512,9,11,1,1,1,4,3,2,5,0,6,6,6
143145676,,376826,9,10,0,0,0,0,0,0,0,0,52,51,60
91359417,,466762,13,13,1,1,1,0,1,1,2,0,34,33,40
506274945,,430294,9,11,2,0.555556,0.6,0,0,1,1,0,28,3,61
11646885,,402971,9,9,0,0,0,0,0,0,0,0,53,52,62
665818510,,317951,9,9,0,0,0,0,0,0,0,0,54,53,63
706524884,,407918,5,3,0,0,0,0,0,0,0,0,55,54,64
391005648,,428870,9,6,0,0,0,0,0,0,0,0,56,55,65
134110539,,428304,7,10,2,0.571429,0.625,0,1,1,2,0,28,3,3
129786000,,498198,12,10,0,0,0,0,0,0,0,0,57,56,66
37882378,,327511,12,12,0,0,0,0,0,0,0,0,58,57,67
322218899,,496987,7,6,0,0,0,0,0,0,0,0,59,58,68
367912756,,423810,9,8,2,0.555556,0.6,0,0,1,1,0,28,3,69
126668636,,417933,8,11,0,0,0,0,0,0,0,0,60,59,70
15245806,,317244,10,14,3,0.5,0.611111,3,2,1,3,0,25,9,10
35119276,,490581,12,12,4,0.35,0.440476,0,1,1,2,0,3,3,37
152725028,,350317,7,6,2,0.6,0.666667,0,0,1,1,0,6,6,71
162740508,,434107,10,11,2,0.555556,0.6,0,0,1,1,0,28,3,72
179394117,,440199,10,8,2,0.555556,0.6,0,0,1,1,0,28,3,73
48495911,,346565,9,6,0,0,0,0,0,0,0,0,61,60,74
39612573,,512482,13,14,0,0,0,0,1,0,1,0,3,3,36
128913810,,554961,5,9,0,0,0,0,0,0,0,0,62,61,75
