Id,Label,time,friends,followers,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,indegree,outdegree,Degree,clustering,modularity_class,componentnumber,strongcompnum
59596605,,106295,10,8,7,0.195946,0.231691,0,1,1,2,0,0,0,1
155604404,,34633,10,5,5,0.314607,0.360714,0,0,1,1,0,10,0,2
159859822,,57029,12,11,6,0.241667,0.295402,28,1,2,3,0,0,0,1
23686905,,53232,11,9,4,0.442623,0.512346,6.533333,1,4,5,0.333333,1,0,0
142754977,,7083,11,8,5,0.294737,0.332738,0,0,1,1,0,7,0,3
515419465,,21397,7,6,5,0.272727,0.308642,0,1,1,2,0,10,0,0
141520277,,2376,11,12,4,0.473684,0.574074,420.35,11,7,18,0.190909,1,0,0
5904983,,9278,11,11,5,0.36,0.440741,0,3,3,6,0.666667,1,0,0
448835974,,7674,10,8,5,0.337349,0.395238,0,0,2,2,1,7,0,4
376623881,,4418361,10,10,4,0.341463,0.377976,0,0,1,1,0,10,0,5
20642274,,49745,11,10,5,0.333333,0.375926,2.166667,1,1,2,0,10,0,0
453474038,,19708,10,9,5,0.294737,0.332738,0,0,1,1,0,7,0,6
215944821,,7285,11,10,5,0.294737,0.332738,0,0,1,1,0,7,0,7
54156425,,12508,11,10,4,0.442623,0.552469,374.8,5,7,12,0.107143,10,0,0
36145078,,8587,11,12,5,0.294737,0.332738,0,0,1,1,0,7,0,8
72993263,,21940,13,12,5,0.409091,0.57037,177.333333,7,9,16,0.173077,1,0,0
155551004,,55195,12,10,4,0.490909,0.611111,37.983333,3,9,12,0.333333,1,0,0
135722996,,15686,9,10,0,0,0,0,0,0,0,0,2,1,9
25984054,,6800,12,11,5,0.307692,0.365476,0,0,2,2,0,3,0,10
135170829,,2956,10,10,5,0.303371,0.360494,1,2,2,4,0.333333,3,0,0
701018410,,5761,10,9,5,0.341772,0.403704,18.083333,2,2,4,0.5,1,0,0
652781142,,9267,11,11,4,0.341463,0.377976,0,0,1,1,0,10,0,11
566012303,,43720,10,8,5,0.381579,0.473563,10,1,4,5,0.25,7,0,12
258214277,,14388,9,10,5,0.364865,0.446914,1.25,2,3,5,0.5,1,0,0
71768954,,23604,10,8,5,0.294737,0.332738,0,0,1,1,0,7,0,13
53485600,,2837,10,12,4,0.346154,0.398148,43.5,5,2,7,0.1,3,0,0
735908877,,33210,9,8,5,0.294737,0.332738,0,0,1,1,0,7,0,14
8485307,,36638,11,11,4,0.350649,0.404321,0,1,2,3,1,10,0,0
66550295,,52124,11,9,4,0.380282,0.435185,0,1,2,3,1,10,0,0
302531471,,33968,10,9,4,0.341463,0.377976,0,0,1,1,0,10,0,15
28495905,,6827,13,11,5,0.290323,0.326543,0,1,1,2,0,7,0,0
61216416,,11864,11,8,4,0.358974,0.425595,0,0,3,3,0.666667,3,0,16
480241657,,34245,9,8,0,0,0,0,0,0,0,0,4,2,17
22434874,,9681,10,9,0,0,0,0,0,0,0,0,5,3,18
302968580,,37655,8,8,0,0,0,0,0,0,0,0,6,4,19
142772268,,13466,11,11,4,0.397059,0.45679,0,3,3,6,1,10,0,0
220484481,,40019,11,13,5,0.325301,0.385185,19.333333,3,2,5,0.083333,10,0,0
532644706,,4922,7,8,4,0.341463,0.377976,0,0,1,1,0,10,0,20
156191612,,54105,11,10,4,0.380282,0.435185,0,1,2,3,1,10,0,0
637164318,,5877,9,14,4,0.402985,0.475309,524.8,30,4,34,0.042529,7,0,0
75179013,,42030,10,10,5,0.333333,0.387356,0,1,2,3,0.5,7,0,12
221545819,,24813,10,10,4,0.364865,0.416667,0,1,2,3,0.5,10,0,0
794946814,,0,8,10,3,0.5,0.58642,769.75,21,7,28,0.059524,10,0,0
202776107,,23537,11,11,4,0.341772,0.37963,0,2,1,3,0.833333,10,0,0
173910120,,2047,9,10,0,0,0,0,0,0,0,0,8,5,21
11329619,,845,9,10,4,0.369863,0.435185,123,3,3,6,0.25,10,0,0
215927542,,54018,12,10,5,0.337349,0.395238,0,0,2,2,1,7,0,22
49225308,,12786,11,10,5,0.294737,0.332738,0,0,1,1,0,7,0,23
304782240,,33666,11,11,4,0.380282,0.459877,64.133333,2,4,6,0.25,10,0,0
22039595,,22821,12,12,5,0.35443,0.419048,0,0,2,2,0.5,7,0,24
289210429,,6470,8,10,5,0.296703,0.335802,0,2,1,3,0.5,1,0,0
199941178,,56177,10,10,5,0.296703,0.335802,54,2,1,3,0.166667,0,0,0
24506194,,649,11,9,4,0.35,0.401786,0,0,2,2,1,10,0,25
393242925,,41321,9,7,0,0,0,0,0,0,0,0,9,6,26
449714364,,34628,11,9,4,0.385714,0.453704,0,1,3,4,0.666667,10,0,0
76897809,,34728,10,12,5,0.36,0.453086,104.983333,6,4,10,0.2,1,0,0
836610700,,48865,10,10,0,0,0,0,0,0,0,0,11,7,27
368360175,,6162,10,9,5,0.294737,0.332738,0,0,1,1,0,7,0,28
